,brand,item_name,min_price,max_price,min_product_size,max_product_size,store,product_size,unit,price,special_price,substitution,substitute_brand,substitute_productname,url
126,Latina,Fresh Ricotta and Spinach Agnolotti,6.5,8,375,625,Burwood,625,g,8.5,,,,,https://www.woolworths.com.au/shop/productdetails/44977/latina-fresh-ricotta-spinach-agnolotti-pasta
128,Leggos,Tortellini ricotta and roast vege,8,8,630,630,Burwood,630,g,9,,,,,https://www.woolworths.com.au/shop/productdetails/321815/leggo-s-fresh-ricotta-vegetable-tortellini
130,Lilydale,Free Range Chicken Drumsticks Bulk Pack,6,6,1000,1000,Burwood,1000,g,7.15,6.6,1,Macro,Chicken Drumsticks Free Range,https://www.woolworths.com.au/shop/productdetails/764857/macro-chicken-drumsticks-free-range
132,Lowan,Cereal Cocoa Bombs,4,4,350,350,Burwood,300,g,4,2.7,,,,https://www.woolworths.com.au/shop/productdetails/272574/lowan-cocoa-bombs
134,Lowan,Muesli Apricot & Almond,4.5,4.5,650,650,Burwood,650,g,4.5,,1,Morning Sun,Apricot and Almond Breakfast Cereal,https://www.woolworths.com.au/shop/productdetails/336408/morning-sun-apricot-and-almond-breakfast-cereal
136,Lowan,Quick Oats,4,4,1000,1000,Burwood,1000,g,3.9,,1,Lowan,Quick Whole Grain Oats,https://www.woolworths.com.au/shop/productdetails/321862/lowan-quick-whole-grain-oats
138,Lowan ,Cocoa Bombs,4,4,350,350,Burwood,300,g,4,2.7,,,,https://www.woolworths.com.au/shop/productdetails/272574/lowan-cocoa-bombs
140,Macro,Firm Tofu,3.65,3.65,450,450,Burwood,450,g,3,,,,,https://www.woolworths.com.au/shop/productdetails/23038/macro-firm-tofu
142,Macro,Organic Rice Milk,1.65,1.65,1000,1000,Burwood,1000,ml,1.65,,,,,https://www.woolworths.com.au/shop/productdetails/701667/macro-organic-rice-milk
144,Macro,Organic Soy Long Life Milk,1.6,1.6,1000,1000,Burwood,1000,ml,1.6,,,,,https://www.woolworths.com.au/shop/productdetails/215455/macro-organic-soy-long-life-milk
146,Macro,Organic Wholemeal Spaghetti,1.65,1.75,500,500,Burwood,500,g,1.65,,,,,https://www.woolworths.com.au/shop/productdetails/68343/macro-organic-wholemeal-spaghetti
148,Masterfoods,Heat and Eat Jaipur Vegetables,3.5,3.5,285,285,Burwood,NA,NA,NA,,,,,NA
150,Mayfair,Devon Slices,1.3,1.3,100,100,Burwood,1000,g,9.6,,1,Hans,Devon Sliced Per Kg,https://www.woolworths.com.au/shop/productdetails/48527/hans-devon-sliced
152,Morning Sun,Apricot and almond muesli,3.5,3.5,650,650,Burwood,650,g,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/336408/morning-sun-apricot-and-almond-breakfast-cereal
154,Myrtle Creek,Cage Free Extra Large Eggs 12 Pack,3.95,3.95,700,700,Burwood,700,g,4.6,,1,Woolworths,12 Extra Large Cage Free Eggs,https://www.woolworths.com.au/shop/productdetails/175902/woolworths-12-extra-large-cage-free-eggs
156,Natures nutrients,Frozen chopped spinach,1,1,250,250,Burwood,250,g,0.95,,1,Bell Farms,Chopped Spinach,https://www.woolworths.com.au/shop/productdetails/516857/bell-farms-chopped-spinach
158,Neptune,Frozen Fish Fingers,5.4,5.4,1000,1000,Burwood,1000,g,10.5,,1,Birds Eye,Fish Fingers,https://www.woolworths.com.au/shop/productdetails/96336/birds-eye-fish-fingers
160,Nestle,Milo  Ready To Drink,4,4,600,600,Burwood,NA,NA,NA,,,,,NA
162,Nestle,Milo Ready To Drink 3 pack,4,4,600,600,Burwood,NA,NA,NA,,,,,NA
164,Nestle,Sustagen Vanilla Ready To Drink,5.9,5.9,750,750,Burwood,NA,NA,NA,,,,,NA
166,Oak,Iced coffee,4.5,4.5,2000,2000,Burwood,2000,ml,5.5,,,,,https://www.woolworths.com.au/shop/productdetails/556119/oak-milk-iced-coffee
168,Oak,Strawberry milk,4.5,4.5,2000,2000,Burwood,2000,ml,5.5,,,,,https://www.woolworths.com.au/shop/productdetails/481884/oak-strawberry-milk
170,Pace,Pace Farm Fresh Jumbo Cage Eggs 12 pack,5,5.2,700,800,Burwood,700,g,6.1,,1,Pace Farm,12 Extra Large Cage Free Eggs,https://www.woolworths.com.au/shop/productdetails/59790/pace-farm-12-extra-large-cage-free-eggs
172,Pauls,Greek Style Yoghurt 3.8%,10,10,2000,2000,Burwood,2000,g,8.75,,1,Woolworths,Greek Style Yoghurt,https://www.woolworths.com.au/shop/productdetails/249085/woolworths-greek-style-yoghurt
174,Primo,BBQ Sausages,5,5,800,800,Burwood,600,g,7,,1,Woolworths,8 Beef Sausages,https://www.woolworths.com.au/shop/productdetails/820196/woolworths-8-beef-sausages
176,Primo,Dairy Cocktail Franks,3.15,3.15,500,500,Burwood,1000,g,7.4,,,,,https://www.woolworths.com.au/shop/productdetails/185410/primo-cocktail-frankfurts-cocktail
178,Primo,Dairy Thin Franks,3.15,3.15,500,500,Burwood,1000,g,7.4,,1,Primo,Cocktail Frankfurts,https://www.woolworths.com.au/shop/productdetails/185410/primo-cocktail-frankfurts-cocktail
180,Primo,Frankfurts Slim,6.5,6.5,1000,1000,Burwood,1000,g,7.4,,1,Primo,Cocktail Frankfurts,https://www.woolworths.com.au/shop/productdetails/185410/primo-cocktail-frankfurts-cocktail
182,Pureharvest,Aussie Dream Rice Milk,2.2,2.2,1000,1000,Burwood,1000,ml,2.6,,,,,https://www.woolworths.com.au/shop/productdetails/41225/pureharvest-organic-aussie-dream-rice-milk
184,Royal Ebi,Basa Cutlets,8.5,8.5,1000,1000,Burwood,1000,g,8,7.5,1,Woolworths,Frozen Basa Fillets,https://www.woolworths.com.au/shop/productdetails/445352/woolworths-frozen-basa-fillets
186,Sanitarium,UP&GO Liquid Breakfast Choc Ice,4.8,9.7,1000,1500,Burwood,1500,ml,10.5,7,,,,https://www.woolworths.com.au/shop/productdetails/167863/sanitarium-up-go-liquid-breakfast-choc-ice
188,Sanitarium,UP&GO Liquid Breakfast Choc Ice 3 pack,4.95,4.95,750,750,Burwood,750,ml,5.6,,,,,https://www.woolworths.com.au/shop/productdetails/32306/sanitarium-up-go-liquid-breakfast-choc-ice
190,Sanitarium,Up&go Liquid Breakfast Choc Ice 6 pack,9.7,9.7,1500,1500,Burwood,1500,ml,10.5,7,,,,https://www.woolworths.com.au/shop/productdetails/167863/sanitarium-up-go-liquid-breakfast-choc-ice
192,Sanitarium,UP&GO Liquid Breakfast Strawberry,9.7,9.7,1500,1500,Burwood,1500,ml,10.5,7,,,,https://www.woolworths.com.au/shop/productdetails/189655/sanitarium-up-go-liquid-breakfast-strawberry
194,Seacrown,Sardines in Vegetable oil,0.75,0.75,125,125,Burwood,125,g,0.85,,1,Deep Cove,Sardines in Springwater,https://www.woolworths.com.au/shop/productdetails/83235/deep-cove-sardines-in-springwater
196,Sunny Queen,Extra Large free range Eggs 12 Pack,5.5,5.5,700,700,Burwood,700,g,7.2,,,,,https://www.woolworths.com.au/shop/productdetails/77170/sunny-queen-12-extra-large-free-range-eggs
198,Sunrice,White Rice Premium Long Grain,2,2,1000,1000,Burwood,1000,g,2.4,,,,,https://www.woolworths.com.au/shop/productdetails/36493/sunrice-white-rice-premium-long-grain
200,Tablelands,Tablelands Dairy Free Buttery,2.1,2.1,500,500,Burwood,500,g,3.2,,,,,https://www.woolworths.com.au/shop/productdetails/768229/tablelands-dairy-free-buttery
202,Tamar Valley,Greek Yoghurt,6.4,6.4,1000,1000,Burwood,1000,g,8,6,,,,https://www.woolworths.com.au/shop/productdetails/622935/tamar-valley-dairy-greek-style-yoghurt-natural
204,Tasti,Nut Bar Peanut Butter,5,5,420,420,Burwood,420,g,5.7,,,,,https://www.woolworths.com.au/shop/productdetails/116269/tasti-nut-bar-peanut-butter
206,TCC,TCC Light Coconut Milk,1.5,1.5,400,400,Burwood,400,ml,2.3,,,,,https://www.woolworths.com.au/shop/productdetails/58926/tcc-coconut-milk-lite
208,The Alternative Meat Co,Bean Supreme Black Bean Beetroot Burger 4 pack,8,8,340,340,Burwood,NA,NA,NA,,,,,NA
210,The Odd Bunch,Nectarine,2.3,2.3,1000,1000,Burwood,NA,NA,NA,,,,,NA
212,The Odd Bunch,Pear,3.5,3.5,1000,1000,Burwood,1000,g,1.9,,,,,https://www.woolworths.com.au/shop/productdetails/800774/the-odd-bunch-pear-prepacked
214,Thirst busters,Fruit cup cordial,2.2,2.2,2000,2000,Burwood,2000,ml,5,,1,Golden Circle,Fruit Cup Cordial,https://www.woolworths.com.au/shop/productdetails/40448/golden-circle-fruit-cup-cordial-pineapple-drink-cordials
216,Toscano,Traditional Butter Waffles 4 pack,5.5,5.5,360,360,Burwood,360,g,7.5,,,,,https://www.woolworths.com.au/shop/productdetails/785629/toscano-waffles
218,Toscano,Waffles,5.5,5.5,360,360,Burwood,360,g,7.5,,,,,https://www.woolworths.com.au/shop/productdetails/785629/toscano-waffles
220,Uncle Toby's,Natural Style muesli,7.5,7.5,1000,1000,Burwood,1000,g,9,,1,Uncle Tobys,Natural Style Swiss Blend Muesli Breakfast Cereal,https://www.woolworths.com.au/shop/productdetails/36370/uncle-tobys-natural-style-swiss-blend-muesli-breakfast-cereal
222,Uncle Tobys,Oats Quick Sachets Creamy Honey Porridge,6,6,420,420,Burwood,350,g,6.3,,,,,https://www.woolworths.com.au/shop/productdetails/148364/uncle-tobys-oats-quick-sachets-creamy-honey-porridge
224,Verity,Prunes Large,6,6,750,750,Burwood,750,g,6.7,,,,,https://www.woolworths.com.au/shop/productdetails/91837/verity-prunes-large
226,Vogels,Classic Golden Baked Cluster Crunch,6.8,6.8,500,500,Burwood,NA,NA,NA,,,,,NA
228,Western star,Unsalted Butter,4,4,250,250,Burwood,250,g,5.2,,,,,https://www.woolworths.com.au/shop/productdetails/224659/western-star-chef-s-choice-unsalted-butter
230,Woolworths,12 Extra Large Cage Free Eggs,3.95,3.95,700,700,Burwood,700,g,4.6,,,,,https://www.woolworths.com.au/shop/productdetails/175902/woolworths-12-extra-large-cage-free-eggs
232,Woolworths,12 Extra Large Free Range Eggs,4.5,4.5,600,600,Burwood,700,g,5.2,,,,,https://www.woolworths.com.au/shop/productdetails/175905/woolworths-12-extra-large-free-range-eggs
234,Woolworths,Apple juice,2,2,2000,2000,Burwood,2000,ml,2.8,,,,,https://www.woolworths.com.au/shop/productdetails/825527/woolworths-apple-juice
236,Woolworths,Apple Pie Family,3.2,3.2,600,600,Burwood,600,g,3.6,,,,,https://www.woolworths.com.au/shop/productdetails/763594/woolworths-apple-pie-family
238,Woolworths,Australian Butter Unsalted,3.25,3.25,250,250,Burwood,250,g,4.3,,,,,https://www.woolworths.com.au/shop/productdetails/68977/woolworths-australian-butter-unsalted
240,Woolworths,Baby cabbage,2.9,2.9,750,750,Burwood,,,,,,,,
242,Woolworths,Baby leaf salad with beetroot,4,4,180,180,Burwood,180,g,4,,,,,https://www.woolworths.com.au/shop/productdetails/317566/woolworths-baby-leaf-beetroot-salad-with-beetroot-bag
244,Woolworths,Baked Beans In Tomato Sauce,0.65,0.65,420,420,Burwood,420,g,1.1,,,,,https://www.woolworths.com.au/shop/productdetails/47682/woolworths-baked-beans-in-tomato-sauce
246,Woolworths,Beef Mince,11.5,11.5,1000,1000,Burwood,1000,g,12,,,,,https://www.woolworths.com.au/shop/productdetails/577864/woolworths-beef-mince
248,Woolworths,Blueberry Muffins,3.5,3.5,420,420,Burwood,420,g,4.7,,,,,https://www.woolworths.com.au/shop/productdetails/883001/woolworths-blueberry-muffins
250,Woolworths,Bread Grain Loaf,3,3,800,800,Burwood,750,g,3.5,,1,Woolworths,Grain Sandwich Sliced Bread,https://www.woolworths.com.au/shop/productdetails/663284/woolworths-grain-sandwich-sliced-bread
252,Woolworths,Bread Rolls Soft Wholegrain Lunch 6pk,2,2,420,420,Burwood,480,g,2.5,,1,Woolworths,Grain Rolls 6 pack,https://www.woolworths.com.au/shop/productdetails/107042/woolworths-multi-grain-rolls
254,Woolworths,Bread Wholemeal Loaf,2,2,680,680,Burwood,750,g,3.9,,1,Woolworths,Country Loaf Wholemeal,https://www.woolworths.com.au/shop/productdetails/433887/woolworths-country-loaf-wholemeal
256,Woolworths,Broccoli florets,2.5,2.5,500,500,Burwood,500,g,3.8,,,,,https://www.woolworths.com.au/shop/productdetails/768559/woolworths-broccoli-florets
258,Woolworths,Brushed Potatoes,5.5,5.5,2000,4000,Burwood,2000,g,6,,,,,https://www.woolworths.com.au/shop/productdetails/244637/woolworths-brushed-potatoes-bag
260,Woolworths,Canola Oil,2.5,2.5,750,750,Burwood,750,ml,3.95,,,,,https://www.woolworths.com.au/shop/productdetails/750736/woolworths-canola-oil
262,Woolworths,Cheese Rings,1.85,1.85,190,190,Burwood,NA,NA,NA,,,,,NA
264,Woolworths,Chicken Blasts,1.4,1.4,200,200,Burwood,200,g,1.8,,,,,https://www.woolworths.com.au/shop/productdetails/531518/woolworths-chicken-blasts
266,Woolworths,Chicken Drumsticks,4,4,1000,1000,Burwood,1100,g,7.6,,,,,https://www.woolworths.com.au/shop/productdetails/169014/woolworths-chicken-drumsticks
268,Woolworths,Chicken Wings,5.5,5.5,1000,1000,Burwood,1000,g,7,,,,,https://www.woolworths.com.au/shop/productdetails/710943/chicken-wings-three-joint
270,Woolworths,Chickpea no added salt,0.8,0.8,420,420,Burwood,420,g,1,,,,,https://www.woolworths.com.au/shop/productdetails/259399/woolworths-chickpeas-no-added-salt
272,Woolworths,Chips Crinkle Cut Original,1.6,1.6,175,175,Burwood,175,g,2.3,,,,,https://www.woolworths.com.au/shop/productdetails/725808/woolworths-crinkle-cut-chips-original-crinkle-cut-original
274,Woolworths,Choc Hazelnut spread,4.3,4.3,750,750,Burwood,750,g,9.75,,1,Nutella,Hazelnut Chocolate Spread,https://www.woolworths.com.au/shop/productdetails/147314/nutella-hazelnut-chocolate-spread-spread
276,Woolworths,Chunky Steakhouse Chips,2,2,1000,1000,Burwood,900,g,4.5,,1,Mccain,Superfries Steak Cut,https://www.woolworths.com.au/shop/productdetails/662932/mccain-superfries-steak-cut
278,Woolworths,Classic Coleslaw,6.5,6.5,800,800,Burwood,400,g,5.5,,,,,https://www.woolworths.com.au/shop/productdetails/382779/woolworths-classic-coleslaw
280,Woolworths,Cocktail Frankfurts,2.5,2.5,500,500,Burwood,500,g,2.9,,,,,https://www.woolworths.com.au/shop/productdetails/625347/woolworths-cocktail-frankfurts
282,Woolworths,Cocoa Puffs,3.15,3.15,500,500,Burwood,NA,NA,NA,,,,,NA
284,Woolworths,Cola,1,1,1000,1000,Burwood,1250,ml,1.1,,,,,https://www.woolworths.com.au/shop/productdetails/756022/woolworths-cola-bottle
286,Woolworths,Corn Chips Supreme,1.9,1.9,200,200,Burwood,200,g,2.3,,,,,https://www.woolworths.com.au/shop/productdetails/434041/woolworths-corn-chips-supreme
288,Woolworths,Country Loaf Wholemeal,2.7,2.7,750,750,Burwood,750,g,3.9,,,,,https://www.woolworths.com.au/shop/productdetails/433887/woolworths-country-loaf-wholemeal
290,Woolworths,Creamy Potato Salad,6.5,6.5,800,800,Burwood,800,g,7,,,,,https://www.woolworths.com.au/shop/productdetails/793189/woolworths-creamy-potato-salad
292,Woolworths,Crispy rice pops,1.8,1.8,350,350,Burwood,370,g,2.85,,,,,https://www.woolworths.com.au/shop/productdetails/202801/woolworths-crispy-rice-pops
294,Woolworths,Crumpets,1.35,1.35,300,300,Burwood,300,g,2,,,,,https://www.woolworths.com.au/shop/productdetails/224739/woolworths-crumpets
296,Woolworths,Crunchy Corn flakes,2.5,2.5,700,700,Burwood,640,g,10,,1,Kelloggs,Crunchy Nut Corn Flakes Breakfast Cereal,https://www.woolworths.com.au/shop/productdetails/202915/kellogg-s-crunchy-nut-corn-flakes-breakfast-cereal
298,Woolworths,Crunchy Honey Poppas,4.3,4.3,650,650,Burwood,NA,NA,NA,,,,,NA
300,Woolworths,Drought Relief Full Cream Milk,2.39,2.39,2000,2000,Burwood,2000,ml,3.1,,1,Woolworths,Full Cream Milk,https://www.woolworths.com.au/shop/productdetails/888137/woolworths-full-cream-milk
302,Woolworths,Drought Relief Lite Milk,2.39,2.39,2000,2000,Burwood,2000,ml,3.1,,1,Woolworths,Lite Milk,https://www.woolworths.com.au/shop/productdetails/888139/woolworths-lite-milk
304,Woolworths,Essentials Assorted Flavours Fruit Bars,3.7,3.7,500,500,Burwood,500,g,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/100232/woolworths-fruit-bars-assorted
306,Woolworths,Essentials Coconut Milk,0.95,0.95,400,400,Burwood,400,ml,0.95,,,,,https://www.woolworths.com.au/shop/productdetails/694751/essentials-coconut-milk
308,Woolworths,Essentials Cooking Bacon,9,9,1000,1000,Burwood,1000,g,9.5,,,,,https://www.woolworths.com.au/shop/productdetails/507910/essentials-cooking-bacon
310,Woolworths,Essentials Frozen Straight Cut Potato Chips,1.89,1.89,1000,1000,Burwood,900,g,4.5,,1,Mccain,Superfries Straight Cut,https://www.woolworths.com.au/shop/productdetails/662933/mccain-superfries-straight-cut
312,Woolworths,Essentials Pasta Spirals,0.8,0.8,500,500,Burwood,500,g,0.9,,,,,https://www.woolworths.com.au/shop/productdetails/188799/essentials-pasta-spirals
314,Woolworths,Essentials Plain Flour,1,1,1000,1000,Burwood,1000,g,1.2,,,,,https://www.woolworths.com.au/shop/productdetails/33282/essentials-plain-flour
316,Woolworths,Essentials Processed Bran Sticks,1.79,1.79,500,500,Burwood,500,g,1.79,,,,,https://www.woolworths.com.au/shop/productdetails/93035/essentials-processed-bran-sticks
318,Woolworths,Essentials Salted Butter,5,5,500,500,Burwood,500,g,6.4,,,,,https://www.woolworths.com.au/shop/productdetails/48650/essentials-salted-butter
320,Woolworths,Essentials Strawberry Jam,1.4,1.4,500,500,Burwood,450,g,2.5,,1,Gardener,Strawberry Jam,https://www.woolworths.com.au/shop/productdetails/198522/gardener-strawberry-jam
322,Woolworths,Essentials Table Spread Soft And Spreadable,1.6,1.6,500,500,Burwood,500,g,2.3,,,,,https://www.woolworths.com.au/shop/productdetails/93530/essentials-table-spread-soft-and-spreadable
324,Woolworths,Essentials tuna in Oil,1.3,1.3,185,185,Burwood,185,g,1.8,,,,,https://www.woolworths.com.au/shop/productdetails/94681/essentials-tuna-in-oil
326,Woolworths,Essentials Unsalted butter,5,5,500,500,Burwood,500,g,6.4,,,,,https://www.woolworths.com.au/shop/productdetails/688962/essentials-unsalted-butter
328,Woolworths,Essentials Vanilla Ice Cream,2.75,2.75,2000,2000,Burwood,2000,ml,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/74273/woolworths-vanilla-ice-cream
330,Woolworths,Free From Gluten Cereal Cornflakes,3,3,375,375,Burwood,375,g,3,,,,,https://www.woolworths.com.au/shop/productdetails/770052/woolworths-free-from-gluten-cereal-cornflakes
332,Woolworths,Free From Gluten White bread,4.5,4.5,550,550,Burwood,550,g,6.25,,,,,https://www.woolworths.com.au/shop/productdetails/824732/woolworths-free-from-gluten-white-bread
334,Woolworths,Fresh Australian Grown Reindeer Carrots,2,2,1000,1000,Burwood,1000,g,1.4,,1,Woolworths,Australian Grown Carrots,https://www.woolworths.com.au/shop/productdetails/135369/woolworths-australian-grown-carrots
336,Woolworths,Fresh broccoli,5.5,5.5,1000,1000,Burwood,,,,,,,,
338,Woolworths,Fresh cabbage,4.5,4.5,908,908,Burwood,,,,,,,,
340,Woolworths,Fresh cauliflower,4.5,4.5,1000,1000,Burwood,,,,,,,,
342,Woolworths,Fresh Packham Pear,3.9,3.9,1000,1000,Burwood,1000,g,3,,,,,https://www.woolworths.com.au/shop/productdetails/310965/woolworths-packham-pear
344,Woolworths,Frozen Basa Fillets,8,8,1000,1000,Burwood,1000,g,8,7.5,,,,https://www.woolworths.com.au/shop/productdetails/445352/woolworths-frozen-basa-fillets
346,Woolworths,Frozen Fish Fillets Battered,8,8,1000,1000,Burwood,1000,g,11,,,,,https://www.woolworths.com.au/shop/productdetails/759044/woolworths-frozen-fish-fillets-battered
348,Woolworths,Full Cream Milk Powder,5.7,5.7,1000,1000,Burwood,1000,g,10,,,,,https://www.woolworths.com.au/shop/productdetails/789357/woolworths-full-cream-milk-powder
350,Woolworths,Gold Sweet Potato,4.9,4.9,1000,1000,Burwood,1000,g,4.5,,,,,https://www.woolworths.com.au/shop/productdetails/156015/woolworths-gold-sweet-potatoes-bag
352,Woolworths,Granny smith apple,5.5,5.5,1000,1000,Burwood,1000,g,4.9,,,,,https://www.woolworths.com.au/shop/productdetails/310966/woolworths-fresh-granny-smith-apples-punnet
354,Woolworths,Greek Style Yoghurt 7.3%,3.9,3.9,1000,1000,Burwood,1000,g,4.4,,1,Woolworths,Natural Greek Style Yoghurt,https://www.woolworths.com.au/shop/productdetails/571487/woolworths-natural-greek-style-yoghurt
356,Woolworths,Greenshell mussels,7.5,7.5,1000,1000,Burwood,1000,g,6.5,,1,United Fish Co.,Greenshell Mussells,https://www.woolworths.com.au/shop/productdetails/182718/united-fish-co-whole-shell-greenshell-mussels-frozen
358,Woolworths,Heart Smart Extra Lean Beef Mince,9,9,500,500,Burwood,500,g,10.5,,,,,https://www.woolworths.com.au/shop/productdetails/577860/woolworths-heart-smart-extra-lean-beef-mince
